Advert Reference,Property Reference,Property Address,Bid Opening Date,Bid Closing Date,Number Of Bedrooms,Number Of Bedspaces,Total Bidders,Successful Bid Points,Ward Code,Ward Name,Lower Super Output Area Code,Lower Super Output Area Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
288765,28630,"Flat 4, Ebony House, Lithos Road, London, NW3 6ES",11/02/2016,15/02/2016,1,2,143,350,E05000145,West Hampstead,E01000972,,525900,184914,-0.18564,51.54908,"(51.54908, -0.18564)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
183933,21274,"Flat 21, Candida Court, Clarence Way, London, NW1 8PY",23/02/2017,27/02/2017,2,4,537,350,E05000130,Camden Town with Primrose Hill,E01000856,,528832,184426,-0.143556,51.544033,"(51.544033, -0.143556)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
186033,16888,"Flat 138, Burnham, Fellows Road, London, NW3 3JN",03/08/2017,07/08/2017,1,2,77,250,E05000128,Belsize,E01000847,,527038,184321,-0.16945,51.543496,"(51.543496, -0.16945)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184691,15511,"Flat 117, Burnham, Fellows Road, London, NW3 3JN",27/10/2016,31/10/2016,1,2,109,500,E05000128,Belsize,E01000847,,527038,184321,-0.16945,51.543496,"(51.543496, -0.16945)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194846,34456,"Flat A,1 Kylemore Road,London,NW6 2PS",06/04/2017,10/04/2017,1,2,139,300,E05000145,West Hampstead,E01000968,,525273,184463,-0.194838,51.545166,"(51.545166, -0.194838)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199398,30303,"Flat 6, Bishopsdale House, Kilburn Vale, London, NW6 4QX",24/11/2016,28/11/2016,1,2,122,1080,E05000140,Kilburn,E01000930,,525429,183745,-0.192845,51.538679,"(51.538679, -0.192845)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
101828,29035,"Flat 5,The Marr,Camden Street,London,NW1 0HE",21/01/2016,25/01/2016,3,5,284,550,E05000143,St Pancras and Somers Town,E01000959,,529246,183678,-0.137864,51.537217,"(51.537217, -0.137864)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191646,6575,"Flat 38, Snowman House, Abbey Road, London, NW6 4DN",21/09/2017,25/09/2017,1,2,114,375,E05000140,Kilburn,E01000935,,525758,183964,-0.188026,51.540574,"(51.540574, -0.188026)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
183485,30093,"Flat 59, Casterbridge, Abbey Road, London, NW6 4DR",17/08/2017,21/08/2017,1,2,73,280,E05000140,Kilburn,E01000935,,525813,183930,-0.187245,51.540256,"(51.540256, -0.187245)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191658,22118,"Flat 23, Halstow, Queens Crescent, London, NW5 4EH",15/09/2016,19/09/2016,3,5,329,800,E05000136,Haverstock,E01000900,,528153,184830,-0.153195,51.547818,"(51.547818, -0.153195)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196260,36808,"Flat A, 9 Millman Street, London, WC1N 3ER",21/04/2016,25/04/2016,1,2,199,780,E05000138,Holborn and Covent Garden,E01000920,,530698,182065,-0.117538,51.522387,"(51.522387, -0.117538)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288691,29436,"Flat 33, Chichester Court, Royal College Street, London, NW1 9LZ",04/08/2016,08/08/2016,2,3,314,455,E05000131,Cantelowes,E01000866,,529063,184471,-0.14021,51.544385,"(51.544385, -0.14021)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199760,28509,"Flat 5, 123 Iverson Road, London, NW6 2RA",28/09/2017,02/10/2017,1,2,123,350,E05000145,West Hampstead,E01000973,,525194,184719,-0.195886,51.547484,"(51.547484, -0.195886)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197314,23938,"Flat 3, 109 Dartmouth Park Hill, London, N19 5HZ",18/08/2016,22/08/2016,1,2,138,580,E05000137,Highgate,E01000907,,528958,186700,-0.140907,51.56444,"(51.56444, -0.140907)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180867,7159,"74 Woodsome Road,London,NW5 1RZ",24/03/2016,28/03/2016,3,4,307,200,E05000137,Highgate,E01000910,,528618,186191,-0.145995,51.559943,"(51.559943, -0.145995)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286108,30434,"Flat 201, Charlotte Buildings, Heritage Lane, London, NW6 2BZ",02/03/2017,06/03/2017,4,6,71,200,E05000145,West Hampstead,E01000973,,525341,184648,-0.193792,51.546814,"(51.546814, -0.193792)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182941,30628,"Flat 6, Riverfleet, Birkenhead Street, London, WC1H 8BJ",07/04/2016,11/04/2016,2,3,397,500,E05000141,King's Cross,E01000939,,530408,182837,-0.12143,51.529392,"(51.529392, -0.12143)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194972,23895,"Flat 29, Tonbridge House, Tonbridge Street, London, WC1H 9PB",12/10/2017,16/10/2017,1,2,128,630,E05000141,King's Cross,E01000941,,530221,182660,-0.12419,51.527844,"(51.527844, -0.12419)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194028,19064,"Flat 17, Windmill, New North Street, London, WC1N 3PG",21/01/2016,25/01/2016,2,3,460,800,E05000138,Holborn and Covent Garden,E01000915,,530575,181880,-0.119378,51.520753,"(51.520753, -0.119378)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
197942,34590,"Flat A,11 Caversham Road,London,NW5 2DT",03/03/2016,07/03/2016,0,1,160,450,E05000131,Cantelowes,E01000870,,529095,184933,-0.13958,51.548529,"(51.548529, -0.13958)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288621,30112,"Flat 1, 71 Endell Street, London, WC2H 9AJ",04/05/2017,08/05/2017,2,3,267,855,E05000138,Holborn and Covent Garden,E01000919,,530152,181231,-0.125711,51.515018,"(51.515018, -0.125711)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
105269,22604,"Flat 24, Woollett Court, St Pancras Way, London, NW1 9HT",20/04/2017,24/04/2017,0,0,122,170,E05000131,Cantelowes,E01000867,,529375,184263,-0.13579,51.542444,"(51.542444, -0.13579)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
106518,27123,"Flat 40, Bucklebury, Stanhope Street, London, NW1 3LB",13/10/2016,17/10/2016,2,4,369,800,E05000142,Regent's Park,E01000945,,529036,182484,-0.141327,51.526535,"(51.526535, -0.141327)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288774,28543,"Flat 28, St Christophers House, Bridgeway Street, London, NW1 1QR",21/01/2016,25/01/2016,1,2,94,385,E05000143,St Pancras and Somers Town,E01000954,,529495,183145,-0.134471,51.53237,"(51.53237, -0.134471)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288507,31351,"Flat 2, 2 Hand Axe Yard, London, WC1X 8BD",14/09/2017,18/09/2017,2,3,322,550,E05000141,King's Cross,E01000939,,530443,182839,-0.120899,51.529404,"(51.529404, -0.120899)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193153,36661,"Flat A,8 Dynham Road,London,NW6 2NR",17/08/2017,21/08/2017,1,2,155,870,E05000140,Kilburn,E01000932,,525278,184319,-0.194817,51.543871,"(51.543871, -0.194817)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
193370,24240,"Flat 3, Express Mansions, 27 Heath Street, London, NW3 6TU",26/10/2017,30/10/2017,1,2,108,300,E05000133,Frognal and Fitzjohns,E01000879,,526351,185690,-0.17886,51.555953,"(51.555953, -0.17886)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195511,30020,"Flat 58,Harmood House,Harmood Street,London,NW1 8DY",03/08/2017,07/08/2017,2,4,284,400,E05000136,Haverstock,E01000904,,528541,184485,-0.147728,51.54463,"(51.54463, -0.147728)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195328,22708,"Flat 25,Durdans House,Farrier Street,London,NW1 9RB",10/03/2016,14/03/2016,1,2,139,790,E05000131,Cantelowes,E01000866,,529010,184413,-0.140995,51.543876,"(51.543876, -0.140995)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188380,16192,"Flat 126, Dorney, Adelaide Road, London, NW3 3PL",23/03/2017,27/03/2017,0,1,109,190,E05000128,Belsize,E01000846,,527370,184400,-0.164637,51.544131,"(51.544131, -0.164637)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104203,38858,"Flat B,63 Oakley Square,London,NW1 1NJ",01/12/2016,05/12/2016,0,0,132,250,E05000142,Regent's Park,E01000947,,529319,183316,-0.136945,51.533947,"(51.533947, -0.136945)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188635,36950,"Flat B, 1 Kingsgate Road, London, NW6 4TD",22/06/2017,26/06/2017,0,1,82,200,E05000140,Kilburn,E01000931,,525271,184039,-0.195018,51.541356,"(51.541356, -0.195018)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191682,39739,"Flat C,2 Dunollie Road,London,NW5 2XP",19/05/2016,23/05/2016,2,4,571,1480,E05000139,Kentish Town,E01000923,,529296,185378,-0.136519,51.552482,"(51.552482, -0.136519)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288589,30617,"Flat 30, Faraday House, York Rise, London, NW5 1DU",06/04/2017,10/04/2017,0,1,98,200,E05000137,Highgate,E01000911,,528852,185912,-0.142724,51.557383,"(51.557383, -0.142724)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194812,38357,"Flat B, 40 Iverson Road, London, NW6 2HE",16/02/2017,20/02/2017,1,2,133,280,E05000145,West Hampstead,E01000974,,524832,184547,-0.201164,51.546019,"(51.546019, -0.201164)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
101534,19775,"Flat 19, Dulverton, Royal College Street, London, NW1 0SB",13/04/2017,17/04/2017,2,4,389,680,E05000143,St Pancras and Somers Town,E01000959,,529463,183645,-0.134749,51.53687,"(51.53687, -0.134749)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195059,33141,"Flat 80,Camelot House,Camden Park Road,London,NW1 9AS",11/02/2016,15/02/2016,2,4,349,510,E05000131,Cantelowes,E01000869,,529890,184798,-0.12817,51.547134,"(51.547134, -0.12817)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199651,768,"12 Sandstone Place,London,N19 5TU",25/02/2016,29/02/2016,1,2,144,405,E05000137,Highgate,E01000907,,528871,186792,-0.142128,51.565287,"(51.565287, -0.142128)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104989,1077,"134 St Paul's Crescent,London,NW1 9XZ",24/08/2017,28/08/2017,1,2,96,250,E05000131,Cantelowes,E01000868,,529834,184220,-0.129191,51.541953,"(51.541953, -0.129191)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196239,18418,"Flat 16, Medway Court, Judd Street, London, WC1H 9QZ",18/08/2016,22/08/2016,2,4,404,550,E05000141,King's Cross,E01000941,,530195,182556,-0.124603,51.526916,"(51.526916, -0.124603)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195392,2984,"232 Weedington Road, London, NW5 4QQ",23/02/2017,27/02/2017,0,1,108,210,E05000134,Gospel Oak,E01000891,,528274,185235,-0.151303,51.55143,"(51.55143, -0.151303)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
183094,41708,"33J Rowley Way, London, NW8 0SQ",10/03/2016,14/03/2016,2,4,385,540,E05000140,Kilburn,E01000935,,525939,183864,-0.185453,51.539635,"(51.539635, -0.185453)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198244,14661,"Flat 103, Templar House, Shoot-Up Hill, London, NW2 3TB",08/06/2017,12/06/2017,2,4,487,550,E05000132,Fortune Green,E01000876,,524639,184824,-0.203848,51.548551,"(51.548551, -0.203848)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192101,32247,"Flat 73, Burnham, Fellows Road, London, NW3 3JP",05/01/2017,09/01/2017,0,1,115,187,E05000128,Belsize,E01000847,,527038,184321,-0.16945,51.543496,"(51.543496, -0.16945)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
289213,30375,"Flat 16,St Georges House,Bridgeway Street,London,NW1 1QS",23/02/2017,27/02/2017,1,2,97,250,E05000143,St Pancras and Somers Town,E01000954,,529511,183179,-0.134228,51.532672,"(51.532672, -0.134228)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192773,1935,"178 Weedington Road, London, NW5 4QQ",14/04/2016,18/04/2016,1,2,141,385,E05000134,Gospel Oak,E01000891,,528274,185235,-0.151303,51.55143,"(51.55143, -0.151303)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
183915,30238,"Flat 6,57 Christchurch Hill,London,NW3 1JJ",18/02/2016,22/02/2016,2,3,474,650,E05000135,Hampstead Town,E01000895,,526535,186089,-0.176064,51.559497,"(51.559497, -0.176064)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194140,23721,"Flat 29, Broadoak House, Mortimer Crescent, London, NW6 5PA",11/08/2016,15/08/2016,2,4,452,470,E05000140,Kilburn,E01000929,,525774,183576,-0.187934,51.537083,"(51.537083, -0.187934)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180177,23635,"Flat 28, St Pancras Court, High Road, East Finchley, London, N2 9AE",21/09/2017,25/09/2017,1,2,103,350,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
103104,7829,"9 Purchese Street, London, NW1 1RW",09/02/2017,13/02/2017,1,2,154,300,E05000143,St Pancras and Somers Town,E01000953,,529729,183297,-0.131044,51.533682,"(51.533682, -0.131044)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195696,27136,"Flat 40,Chancellors Court,Orde Hall Street,London,WC1N 3JP",24/11/2016,28/11/2016,2,4,377,660,E05000138,Holborn and Covent Garden,E01000915,,530551,181952,-0.119698,51.521406,"(51.521406, -0.119698)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
188790,41027,"Flat D, 52 Falkland Road, London, NW5 2XA",11/08/2016,15/08/2016,0,0,136,320,E05000139,Kentish Town,E01000924,,529326,185286,-0.13612,51.551649,"(51.551649, -0.13612)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189025,36102,"Flat A, 5 Bassett Street, London, NW5 4PG",15/09/2016,19/09/2016,0,1,146,280,E05000136,Haverstock,E01000900,,528254,184914,-0.151709,51.54855,"(51.54855, -0.151709)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
105916,28396,"Flat 49, Cobden House, Arlington Road, London, NW1 7LL",28/01/2016,01/02/2016,3,5,347,550,E05000142,Regent's Park,E01000947,,529064,183426,-0.140579,51.534994,"(51.534994, -0.140579)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181772,38439,"Flat B,43 Swinton Street,London,WC1X 9NT",11/02/2016,15/02/2016,0,0,191,400,E05000141,King's Cross,E01000938,,530645,182779,-0.118011,51.528818,"(51.528818, -0.118011)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199181,7527,"Flat 82, Castle Court, Castlehaven Road, London, NW1 8PU",09/03/2017,13/03/2017,2,4,462,580,E05000130,Camden Town with Primrose Hill,E01000856,,528821,184517,-0.143681,51.544853,"(51.544853, -0.143681)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288671,29670,"Flat 11, Tapestry Apartments, 3 Canal Reach, London, N1C 4BA",29/09/2016,03/10/2016,1,2,131,50,E05000143,St Pancras and Somers Town,E01000953,,529910,183793,-0.128227,51.5381,"(51.5381, -0.128227)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288769,28652,"Flat 21,St Georges House,Bridgeway Street,London,NW1 1QS",04/02/2016,08/02/2016,1,2,134,300,E05000143,St Pancras and Somers Town,E01000954,,529511,183179,-0.134228,51.532672,"(51.532672, -0.134228)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
184675,25863,"Flat 36, Flaxman Court, Flaxman Terrace, London, WC1H 9AR",24/03/2016,28/03/2016,1,2,161,530,E05000141,King's Cross,E01000942,,529958,182620,-0.127994,51.527545,"(51.527545, -0.127994)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
108777,22636,"Flat 25, Ambleside, Augustus Street, London, NW1 3TA",13/04/2017,17/04/2017,2,4,456,195,E05000142,Regent's Park,E01000949,,528943,183009,-0.142475,51.531274,"(51.531274, -0.142475)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192463,25634,"Flat 35, Blemundsbury, Dombey Street, London, WC1N 3PF",13/04/2017,17/04/2017,3,5,235,390,E05000138,Holborn and Covent Garden,E01000915,,530579,181919,-0.119306,51.521103,"(51.521103, -0.119306)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288554,31138,"35 Churchway, London, NW1 1LJ",27/07/2017,31/07/2017,4,7,65,875,E05000143,St Pancras and Somers Town,E01000956,,529764,182752,-0.13074,51.528776,"(51.528776, -0.13074)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
182369,355,"105 Solent Road, London, NW6 1TY",28/07/2016,01/08/2016,1,2,128,430,E05000145,West Hampstead,E01000971,,525091,185152,-0.197216,51.551399,"(51.551399, -0.197216)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288536,31108,"Apartment 5, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,1,2,107,120,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
190788,30843,"Flat 60, Waxham, Mansfield Road, London, NW3 2JJ",16/03/2017,20/03/2017,1,2,120,750,E05000134,Gospel Oak,E01000890,,527854,185408,-0.157295,51.55308,"(51.55308, -0.157295)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288607,30354,"Flat 3, 147 Whitfield Street, London, W1T 5ER",16/02/2017,20/02/2017,3,4,211,230,E05000129,Bloomsbury,E01000854,,529198,182186,-0.139102,51.523819,"(51.523819, -0.139102)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194838,39258,"Flat B, 90 Upper Park Road, London, NW3 2UJ",17/08/2017,21/08/2017,2,4,426,550,E05000134,Gospel Oak,E01000888,,527605,185361,-0.160901,51.552714,"(51.552714, -0.160901)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192621,38749,"Flat B, 58 Gascony Avenue, London, NW6 4NE",07/04/2016,11/04/2016,1,2,171,550,E05000140,Kilburn,E01000932,,525314,184160,-0.194355,51.542434,"(51.542434, -0.194355)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195875,13580,"Flat 1,Bradfield Court,Hawley Road,London,NW1 8RN",25/02/2016,29/02/2016,0,1,178,280,E05000130,Camden Town with Primrose Hill,E01000858,,528898,184346,-0.142634,51.543299,"(51.543299, -0.142634)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288534,31106,"Apartment 6, White Lion House, 15 St. Giles High Street, London, WC2H 8LQ",10/08/2017,14/08/2017,3,5,221,315,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199273,2898,"23 Crofters Way, London, NW1 0XJ",28/04/2016,02/05/2016,2,3,470,525,E05000143,St Pancras and Somers Town,E01000958,,529668,183889,-0.131705,51.539016,"(51.539016, -0.131705)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196874,33664,"Flat 9, Buckridge Building, Portpool Lane, London, EC1N 7UP",22/06/2017,26/06/2017,2,3,281,385,E05000138,Holborn and Covent Garden,E01000917,,531177,181893,-0.110702,51.520731,"(51.520731, -0.110702)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288569,30849,"Flat 5, St Anthonys Flats, Aldenham Street, London, NW1 1SA",25/05/2017,29/05/2017,2,4,400,450,E05000143,St Pancras and Somers Town,E01000954,,529581,183153,-0.133229,51.532422,"(51.532422, -0.133229)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198102,297,"102 Kiln Place,London,NW5 4AN",09/03/2017,13/03/2017,2,4,437,525,E05000134,Gospel Oak,E01000889,,528280,185459,-0.151135,51.553442,"(51.553442, -0.151135)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288780,28535,"Flat A, 94 Shoot-Up Hill, London, NW2 3XJ",21/01/2016,25/01/2016,1,2,135,320,E05000132,Fortune Green,E01000872,,524281,185174,-0.208885,51.551775,"(51.551775, -0.208885)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195674,19815,"Flat 19,Gordon Mansions,Torrington Place,London,WC1E 7HF",01/06/2017,05/06/2017,5,0,12,240,E05000129,Bloomsbury,E01000854,,529554,182013,-0.134037,51.522183,"(51.522183, -0.134037)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
105921,29586,"Flat 54, Cobden House, Arlington Road, London, NW1 7LL",15/09/2016,19/09/2016,2,3,479,500,E05000142,Regent's Park,E01000947,,529064,183426,-0.140579,51.534994,"(51.534994, -0.140579)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288563,30876,"Apartment 201, Lily Building, Heritage Lane, London, NW6 2BZ",01/06/2017,05/06/2017,3,5,243,500,E05000145,West Hampstead,E01000973,,525341,184648,-0.193792,51.546814,"(51.546814, -0.193792)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185026,16440,"Flat 13,Falcon,Old Gloucester Street,London,WC1N 3AA",19/05/2016,23/05/2016,2,3,388,420,E05000138,Holborn and Covent Garden,E01000915,,530452,181806,-0.121178,51.520117,"(51.520117, -0.121178)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
195824,3250,"257 Grafton Road, London, NW5 4BJ",22/12/2016,02/01/2017,0,1,136,287,E05000134,Gospel Oak,E01000891,,528321,185255,-0.150619,51.551599,"(51.551599, -0.150619)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104960,7212,"76 St Paul's Crescent,London,NW1 9XZ",03/08/2017,07/08/2017,1,2,92,317,E05000131,Cantelowes,E01000868,,529834,184220,-0.129191,51.541953,"(51.541953, -0.129191)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286106,30409,"Apartment 501, Charlotte Building, Heritage Lane, London, NW6 2BZ",02/03/2017,06/03/2017,3,5,240,200,E05000145,West Hampstead,E01000973,,525341,184648,-0.193792,51.546814,"(51.546814, -0.193792)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198685,7889,"90 Wellesley Road, London, NW5 4PL",20/10/2016,24/10/2016,0,1,130,200,E05000134,Gospel Oak,E01000891,,528185,185192,-0.152602,51.551064,"(51.551064, -0.152602)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
180179,37277,"Flat B,13 Mortimer Terrace,London,NW5 1LH",14/07/2016,18/07/2016,0,1,153,330,E05000137,Highgate,E01000912,,528566,185727,-0.146915,51.555785,"(51.555785, -0.146915)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185446,5471,"47 Galsworthy Road, London, NW2 2SG",17/11/2016,21/11/2016,2,4,512,480,,,,,,,,,,No Spatial Information Available,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
101403,13660,"Flat 1,Dartington,Plender Street,London,NW1 0DE",11/08/2016,15/08/2016,0,1,142,210,E05000143,St Pancras and Somers Town,E01000959,,529448,183567,-0.134994,51.536173,"(51.536173, -0.134994)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
105099,13,"1 Bowmore Walk,London,NW1 9XY",23/03/2017,27/03/2017,4,6,88,330,E05000131,Cantelowes,E01000868,,529800,184235,-0.129675,51.542095,"(51.542095, -0.129675)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
198855,36144,"Flat A,5 Winscombe Street,London,N19 5DG",09/06/2016,13/06/2016,2,4,638,680,E05000137,Highgate,E01000907,,528851,186516,-0.142517,51.562811,"(51.562811, -0.142517)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288547,31013,"Flat 19,Priestley House,Wilkin Street,London,NW5 4LP",20/07/2017,24/07/2017,2,3,297,375,E05000136,Haverstock,E01000901,,528515,184869,-0.147937,51.548089,"(51.548089, -0.147937)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
191978,24366,"Flat 3, Leysdown, Malden Road, London, NW5 3HT",21/09/2017,25/09/2017,0,1,102,200,E05000136,Haverstock,E01000905,,528291,184668,-0.151265,51.546331,"(51.546331, -0.151265)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194711,34704,"Flat A, 12 Oseney Crescent, London, NW5 2AU",23/06/2016,27/06/2016,1,2,226,700,E05000131,Cantelowes,E01000870,,529496,184836,-0.133835,51.547566,"(51.547566, -0.133835)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192855,21578,"Flat 215, Wendling, Haverstock Road, London, NW5 4QY",18/02/2016,22/02/2016,1,2,159,240,E05000134,Gospel Oak,E01000890,,527904,185209,-0.156646,51.551281,"(51.551281, -0.156646)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
192907,29067,"Flat 5, Wedmore, Queens Crescent, London, NW5 4DT",25/05/2017,29/05/2017,2,2,401,700,E05000136,Haverstock,E01000901,,528345,185103,-0.150328,51.550228,"(51.550228, -0.150328)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
104690,7949,"93 Maiden Lane, London, NW1 9YN",20/07/2017,24/07/2017,1,2,90,275,E05000131,Cantelowes,E01000868,,530002,184307,-0.126737,51.542696,"(51.542696, -0.126737)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
196087,4133,"32 Dunboyne Road,London,NW3 2YY",11/05/2017,15/05/2017,1,2,189,200,E05000134,Gospel Oak,E01000890,,527752,185343,-0.158789,51.552519,"(51.552519, -0.158789)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286107,30442,"Apartment 002, Milne Building, Heritage Lane, London, NW6 2AF",02/03/2017,06/03/2017,3,4,218,190,E05000145,West Hampstead,E01000973,,525397,184661,-0.192955,51.54692,"(51.54692, -0.192955)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
